Brand,Processor,RAM (GB),Storage (GB),GPU,Screen Size (inches),Battery Life (hours),Price (INR)
HP,Ryzen 7,8,1024,Integrated,15.6,12,91000
Dell,Intel i3,8,512,RTX 4080,15.6,7,86000
Lenovo,Ryzen 9,16,256,Integrated,17.0,5,112000
HP,Ryzen 5,4,512,GTX 1650,15.6,8,73000
HP,Ryzen 5,4,1024,Integrated,14.0,8,68000
HP,Ryzen 3,4,256,Integrated,17.0,10,38000
HP,Ryzen 5,4,512,Integrated,17.0,7,58000
HP,Intel i9,4,512,RTX 3050,17.0,4,113000
HP,Ryzen 5,16,2048,Integrated,13.0,6,112000
Dell,Ryzen 9,16,1024,RTX 4070,14.0,12,157000
MSI,Ryzen 7,32,256,RTX 4090,15.6,10,164000
Acer,Intel i7,8,2048,RTX 3050,14.0,6,131000
Dell,Ryzen 3,16,1024,RTX 4090,17.0,8,117000
HP,Ryzen 3,32,256,GTX 1650,14.0,9,109000
Acer,Ryzen 9,8,2048,RTX 4080,14.0,4,166000
HP,Intel i9,16,2048,RTX 4070,14.0,9,177000
MSI,Ryzen 5,32,1024,RTX 4080,15.6,6,159000
Acer,Ryzen 7,16,1024,RTX 3050,16.0,4,127000
Asus,Ryzen 7,4,2048,RTX 4090,13.0,6,143000
Acer,Intel i3,4,512,GTX 1650,17.0,8,58000
Asus,Intel i7,8,2048,RTX 4060,15.6,8,136000
HP,Intel i3,32,512,Integrated,13.0,9,99000
MSI,Intel i7,8,512,RTX 4060,13.0,6,106000
Apple,Intel i5,16,1024,RTX 4090,16.0,12,162000
Asus,Intel i9,32,256,Integrated,13.0,6,144000
MSI,Intel i9,8,2048,GTX 1650,15.6,11,146000
MSI,Ryzen 3,16,2048,GTX 1650,16.0,5,112000
Lenovo,Ryzen 7,8,256,Integrated,13.0,7,76000
HP,Ryzen 9,32,2048,RTX 4070,15.6,6,209000
HP,Ryzen 5,32,512,RTX 4090,16.0,9,154000
MSI,Ryzen 7,8,512,GTX 1650,16.0,5,96000
HP,Ryzen 7,16,512,RTX 4080,15.6,8,132000
Asus,Intel i9,4,2048,RTX 4060,14.0,12,148000
MSI,Ryzen 5,8,256,Integrated,17.0,11,61000
Acer,Intel i3,32,1024,RTX 4090,13.0,7,149000
MSI,Ryzen 5,32,256,GTX 1650,13.0,4,124000
Lenovo,Ryzen 3,16,2048,RTX 4060,16.0,8,122000
MSI,Intel i3,16,2048,Integrated,13.0,7,97000
Apple,Ryzen 5,8,256,RTX 4080,14.0,11,126000
Acer,Intel i5,16,1024,Integrated,17.0,11,92000
Apple,Ryzen 7,4,256,RTX 3050,15.6,4,118000
Asus,Intel i9,32,256,GTX 1650,14.0,5,159000
MSI,Intel i5,8,256,RTX 4060,13.0,11,86000
Acer,Ryzen 5,8,2048,RTX 4080,16.0,9,131000
HP,Intel i5,8,2048,GTX 1650,14.0,5,111000
Apple,Ryzen 9,16,1024,RTX 4060,14.0,10,182000
Apple,Ryzen 3,8,256,Integrated,17.0,5,76000
Apple,Intel i9,4,2048,RTX 4080,14.0,7,188000
Lenovo,Ryzen 9,8,512,GTX 1650,13.0,12,116000
Dell,Ryzen 5,16,2048,RTX 4070,13.0,7,142000
HP,Intel i5,8,1024,GTX 1650,17.0,9,91000
MSI,Intel i5,32,512,RTX 4060,14.0,11,139000
HP,Ryzen 5,32,2048,RTX 4070,14.0,4,174000
MSI,Ryzen 9,16,2048,Integrated,13.0,7,147000
Apple,Ryzen 7,4,256,RTX 4060,16.0,12,123000
HP,Ryzen 3,4,1024,RTX 4080,15.6,7,88000
MSI,Ryzen 9,32,512,RTX 4060,15.6,8,174000
Lenovo,Ryzen 3,32,512,RTX 4060,15.6,7,124000
Dell,Intel i5,8,2048,RTX 4080,17.0,9,131000
HP,Intel i7,16,1024,GTX 1650,16.0,4,122000
HP,Ryzen 9,16,512,RTX 3050,13.0,8,137000
Lenovo,Intel i3,4,256,Integrated,15.6,12,38000
Lenovo,Intel i9,8,2048,Integrated,16.0,4,131000
Lenovo,Intel i3,32,2048,Integrated,17.0,7,129000
Lenovo,Ryzen 5,8,1024,RTX 4070,14.0,10,106000
Dell,Ryzen 5,32,2048,RTX 3050,13.0,12,164000
Acer,Ryzen 5,16,256,RTX 4090,13.0,6,117000
Acer,Intel i9,8,512,GTX 1650,15.6,7,116000
Apple,Intel i3,32,2048,Integrated,17.0,6,159000
Acer,Intel i3,32,2048,RTX 4060,15.6,8,154000
Asus,Ryzen 5,4,256,RTX 4060,17.0,4,78000
Asus,Ryzen 3,4,512,RTX 3050,15.6,11,63000
Apple,Intel i9,4,256,GTX 1650,15.6,4,133000
MSI,Intel i5,16,256,RTX 4090,14.0,7,117000
MSI,Ryzen 5,4,2048,RTX 4070,14.0,10,118000
Dell,Intel i5,8,1024,RTX 4080,13.0,5,111000
HP,Ryzen 7,4,256,RTX 4080,17.0,8,103000
Lenovo,Intel i5,4,1024,RTX 4060,15.6,8,93000
Asus,Intel i5,32,1024,RTX 4070,14.0,5,154000
Apple,Intel i7,8,512,RTX 4090,14.0,12,151000
Apple,Intel i3,16,2048,GTX 1650,17.0,11,142000
HP,Intel i5,4,256,Integrated,16.0,4,53000
Asus,Ryzen 3,8,256,RTX 3050,15.6,12,66000
Apple,Ryzen 7,32,1024,RTX 4080,14.0,9,204000
Lenovo,Ryzen 7,16,512,RTX 4090,14.0,9,137000
Dell,Ryzen 7,4,1024,RTX 4070,17.0,10,113000
Lenovo,Intel i5,32,256,RTX 4080,13.0,11,144000
Lenovo,Intel i9,32,1024,Integrated,14.0,7,159000
HP,Ryzen 7,4,512,RTX 3050,16.0,5,93000
Lenovo,Intel i9,4,2048,Integrated,13.0,4,123000
Apple,Ryzen 3,32,256,RTX 4070,17.0,8,154000
Asus,Intel i7,16,512,RTX 3050,17.0,6,117000
Apple,Ryzen 7,16,2048,RTX 4090,14.0,4,197000
Dell,Intel i5,4,1024,GTX 1650,13.0,7,83000
Acer,Ryzen 5,8,512,RTX 4090,17.0,11,106000
Dell,Ryzen 5,32,2048,Integrated,14.0,5,144000
Apple,Ryzen 9,8,2048,RTX 4080,17.0,11,196000
HP,Intel i9,4,256,RTX 3050,17.0,11,108000
Dell,Ryzen 5,16,512,RTX 4090,15.6,8,122000
HP,Ryzen 7,8,2048,RTX 4060,13.0,9,136000
Apple,Ryzen 9,16,256,GTX 1650,16.0,11,157000
Acer,Intel i9,4,2048,RTX 4070,15.6,9,153000
Dell,Intel i5,32,256,RTX 4070,15.6,4,139000
HP,Ryzen 3,4,1024,RTX 3050,16.0,10,73000
Lenovo,Intel i5,32,2048,RTX 3050,14.0,10,164000
Apple,Intel i7,8,256,RTX 4090,13.0,7,146000
Apple,Intel i9,4,512,Integrated,13.0,4,123000
Asus,Intel i9,32,512,GTX 1650,16.0,4,164000
HP,Ryzen 3,16,2048,RTX 4090,15.6,8,137000
MSI,Intel i3,8,512,RTX 4060,16.0,10,76000
Apple,Intel i9,4,512,RTX 4070,14.0,11,153000
Asus,Ryzen 9,16,512,RTX 4060,14.0,9,142000
MSI,Intel i3,32,512,RTX 3050,13.0,6,119000
MSI,Ryzen 3,32,2048,RTX 3050,17.0,12,149000
Dell,Ryzen 7,32,256,RTX 4090,14.0,9,164000
Acer,Intel i7,4,256,GTX 1650,15.6,4,83000
Apple,Ryzen 9,8,512,RTX 4070,16.0,6,161000
Acer,Intel i9,32,1024,RTX 4060,16.0,5,184000
MSI,Ryzen 7,16,1024,RTX 4080,17.0,9,142000
Acer,Intel i9,32,256,RTX 4090,16.0,5,184000
HP,Intel i3,4,2048,RTX 4080,15.6,8,108000
Apple,Intel i3,32,512,RTX 4060,15.6,10,154000
Asus,Intel i7,16,1024,RTX 3050,15.6,12,127000
Asus,Intel i7,4,256,GTX 1650,17.0,7,83000
Lenovo,Intel i5,32,256,RTX 3050,15.6,9,129000
Dell,Intel i9,16,2048,RTX 3050,17.0,9,167000
Lenovo,Intel i7,4,2048,RTX 4080,16.0,11,138000
MSI,Intel i3,32,1024,Integrated,14.0,11,109000
Lenovo,Intel i7,16,512,GTX 1650,15.6,9,112000
Asus,Ryzen 5,16,1024,RTX 4080,16.0,11,127000
Acer,Intel i7,4,512,Integrated,13.0,7,73000
Lenovo,Ryzen 7,32,1024,RTX 4060,14.0,7,164000
Lenovo,Intel i3,16,256,RTX 4080,13.0,10,97000
Dell,Intel i7,32,256,Integrated,14.0,10,124000
HP,Ryzen 5,4,256,RTX 4070,15.6,8,83000
Lenovo,Intel i9,4,256,RTX 3050,13.0,9,108000
Apple,Intel i5,16,256,RTX 4060,17.0,8,132000
HP,Intel i7,8,1024,RTX 4090,14.0,6,131000
Lenovo,Intel i9,32,1024,RTX 4070,16.0,6,189000
Dell,Intel i5,16,512,GTX 1650,13.0,4,97000
Acer,Intel i5,4,2048,GTX 1650,14.0,6,103000
Dell,Intel i7,16,2048,Integrated,17.0,12,127000
Acer,Ryzen 9,8,256,RTX 4090,13.0,5,136000
Dell,Ryzen 5,8,1024,RTX 4060,13.0,8,101000
Lenovo,Intel i7,16,256,RTX 4070,16.0,8,122000
HP,Ryzen 3,4,256,RTX 4060,17.0,10,63000
Apple,Ryzen 9,32,2048,GTX 1650,15.6,9,224000
HP,Ryzen 9,8,1024,RTX 3050,15.6,8,131000
Apple,Ryzen 5,32,512,GTX 1650,16.0,7,159000
Dell,Intel i5,32,2048,GTX 1650,15.6,4,159000
HP,Intel i5,16,256,RTX 3050,14.0,7,97000
MSI,Ryzen 9,32,1024,RTX 3050,14.0,9,179000
Asus,Intel i5,4,2048,RTX 4070,16.0,6,118000
Acer,Ryzen 5,4,256,RTX 4090,17.0,7,93000
Apple,Ryzen 5,4,2048,GTX 1650,13.0,4,133000
MSI,Intel i7,8,1024,GTX 1650,16.0,12,106000
MSI,Ryzen 5,32,2048,RTX 4080,14.0,5,179000
MSI,Intel i3,4,2048,RTX 4060,15.6,12,98000
HP,Ryzen 5,16,2048,RTX 4070,13.0,7,142000
Lenovo,Ryzen 5,8,1024,GTX 1650,16.0,8,91000
HP,Intel i3,32,2048,RTX 4070,15.6,9,159000
Lenovo,Intel i9,16,1024,RTX 4090,13.0,4,167000
MSI,Intel i3,8,1024,RTX 4060,17.0,7,86000
Asus,Intel i3,4,512,RTX 4080,14.0,6,78000
MSI,Intel i5,8,256,RTX 4090,16.0,12,101000
Asus,Intel i9,32,2048,RTX 4080,15.6,10,214000
Apple,Intel i7,32,256,RTX 4060,13.0,5,179000
HP,Intel i7,8,512,Integrated,16.0,8,81000
Asus,Ryzen 3,4,2048,RTX 4070,16.0,6,103000
Asus,Ryzen 5,32,512,RTX 4090,14.0,4,154000
Dell,Ryzen 9,8,1024,Integrated,14.0,11,111000
MSI,Intel i7,16,1024,RTX 4080,13.0,8,142000
Apple,Intel i3,8,2048,RTX 4060,17.0,4,136000
Apple,Intel i5,16,256,RTX 4060,15.6,11,132000
Acer,Ryzen 9,8,256,GTX 1650,16.0,5,111000
MSI,Ryzen 5,8,512,Integrated,14.0,8,66000
Asus,Intel i3,16,256,RTX 3050,13.0,4,82000
Apple,Ryzen 7,4,2048,RTX 3050,15.6,6,153000
MSI,Ryzen 7,16,1024,RTX 4090,15.6,12,147000
Acer,Ryzen 5,8,512,RTX 4090,17.0,4,106000
Acer,Intel i3,16,512,GTX 1650,13.0,4,82000
Lenovo,Intel i9,16,512,Integrated,16.0,6,117000
HP,Intel i5,4,1024,RTX 3050,15.6,5,88000
Acer,Intel i7,4,2048,RTX 3050,15.6,12,123000
MSI,Intel i5,16,2048,GTX 1650,14.0,9,127000
Lenovo,Ryzen 5,16,512,RTX 4080,17.0,10,117000
Dell,Ryzen 3,32,2048,Integrated,17.0,7,129000
Lenovo,Intel i3,4,256,GTX 1650,14.0,12,53000
MSI,Ryzen 3,8,256,Integrated,16.0,4,46000
Acer,Ryzen 9,16,1024,Integrated,13.0,7,127000
MSI,Ryzen 5,8,2048,RTX 4070,16.0,4,126000
Dell,Ryzen 9,8,512,RTX 3050,16.0,6,121000
Acer,Intel i7,4,512,RTX 4060,16.0,4,98000
MSI,Intel i5,16,1024,GTX 1650,13.0,11,107000
Lenovo,Ryzen 3,32,512,RTX 4090,16.0,6,139000
Apple,Intel i7,8,2048,GTX 1650,17.0,8,156000
Lenovo,Ryzen 7,4,512,RTX 3050,15.6,8,93000
MSI,Intel i3,16,1024,RTX 4090,16.0,7,117000
Apple,Intel i7,16,1024,GTX 1650,16.0,8,152000
MSI,Ryzen 7,4,1024,RTX 3050,13.0,5,103000
Lenovo,Intel i3,4,2048,Integrated,14.0,6,73000
Asus,Intel i3,8,1024,RTX 4070,14.0,5,91000
Asus,Ryzen 9,8,2048,RTX 4070,13.0,11,161000
MSI,Intel i3,16,2048,GTX 1650,16.0,4,112000
Apple,Ryzen 9,4,1024,RTX 4060,15.6,4,158000
Apple,Ryzen 5,8,256,Integrated,13.0,10,91000
Lenovo,Ryzen 9,32,1024,RTX 4060,16.0,7,184000
Lenovo,Intel i7,16,512,GTX 1650,14.0,7,112000
Acer,Intel i9,4,2048,RTX 4080,14.0,4,158000
Dell,Intel i7,32,1024,RTX 3050,15.6,6,159000
Lenovo,Intel i9,16,512,Integrated,17.0,11,117000
Asus,Intel i7,8,1024,RTX 4090,15.6,11,131000
Asus,Ryzen 5,16,2048,RTX 4060,17.0,12,137000
Lenovo,Ryzen 7,16,1024,GTX 1650,15.6,5,122000
Asus,Intel i9,4,256,RTX 4060,14.0,6,113000
Acer,Ryzen 3,4,2048,RTX 4070,17.0,5,103000
HP,Ryzen 7,32,512,RTX 4070,14.0,11,159000
Acer,Intel i7,4,1024,GTX 1650,16.0,8,98000
MSI,Intel i9,16,512,RTX 4070,15.6,9,147000
Apple,Ryzen 5,8,256,RTX 4070,15.6,10,121000
Asus,Intel i7,16,2048,RTX 4060,13.0,11,152000
Apple,Intel i9,32,512,RTX 4090,16.0,4,219000
Lenovo,Intel i3,8,1024,RTX 4060,17.0,4,86000
HP,Intel i7,16,512,Integrated,14.0,12,97000
Dell,Intel i5,32,2048,GTX 1650,16.0,8,159000
Apple,Intel i3,16,512,RTX 4080,14.0,12,132000
Acer,Intel i5,8,1024,GTX 1650,13.0,6,91000
HP,Ryzen 3,8,1024,Integrated,14.0,6,61000
Lenovo,Ryzen 7,8,2048,RTX 4090,15.6,10,151000
Dell,Intel i7,8,1024,RTX 4090,16.0,4,131000
Acer,Ryzen 7,8,512,RTX 4090,15.6,11,121000
MSI,Ryzen 3,8,1024,Integrated,13.0,12,61000
Lenovo,Ryzen 7,8,256,RTX 4090,14.0,9,116000
Acer,Intel i3,32,512,RTX 4060,16.0,6,124000
MSI,Ryzen 9,16,2048,Integrated,15.6,6,147000
Acer,Ryzen 5,8,512,RTX 4090,17.0,4,106000
Acer,Intel i9,8,1024,RTX 4070,17.0,12,141000
Apple,Intel i7,32,1024,RTX 4090,15.6,4,209000
Dell,Ryzen 5,16,1024,RTX 4090,15.6,10,132000
Apple,Intel i5,16,1024,RTX 4070,15.6,9,152000
HP,Ryzen 3,8,2048,RTX 3050,17.0,5,101000
Asus,Ryzen 5,32,256,Integrated,14.0,8,109000
Dell,Ryzen 5,8,256,RTX 4090,15.6,12,101000
Lenovo,Ryzen 5,16,512,Integrated,16.0,8,82000
Asus,Ryzen 7,32,2048,RTX 4060,17.0,10,184000
Asus,Ryzen 9,4,512,RTX 4070,15.6,11,123000
HP,Ryzen 3,8,512,RTX 4060,13.0,4,76000
HP,Intel i7,8,512,GTX 1650,17.0,7,96000
HP,Intel i9,8,512,RTX 4060,17.0,4,126000
Dell,Ryzen 7,16,256,RTX 4060,15.6,11,117000
Apple,Intel i3,4,512,RTX 4060,17.0,12,98000
Apple,Intel i5,32,512,RTX 4070,14.0,6,174000
MSI,Intel i3,32,512,GTX 1650,15.6,4,114000
MSI,Intel i9,16,1024,Integrated,17.0,9,127000
Lenovo,Intel i7,8,1024,RTX 4090,15.6,10,131000
Apple,Ryzen 9,4,256,Integrated,16.0,4,118000
HP,Intel i9,8,2048,RTX 4070,15.6,9,161000
MSI,Intel i7,8,512,GTX 1650,14.0,12,96000
Dell,Ryzen 3,32,512,RTX 4060,15.6,7,124000
Lenovo,Intel i7,4,1024,GTX 1650,14.0,10,98000
Lenovo,Ryzen 3,32,512,RTX 3050,17.0,11,119000
MSI,Ryzen 7,8,256,RTX 4070,17.0,12,106000
HP,Ryzen 3,4,2048,RTX 4080,14.0,9,108000
Dell,Intel i3,32,2048,RTX 4090,14.0,6,169000
Apple,Ryzen 7,4,512,RTX 4060,17.0,5,128000
Asus,Intel i7,32,256,RTX 4070,17.0,6,154000
Apple,Ryzen 3,16,2048,RTX 4090,13.0,9,167000
Acer,Intel i3,8,512,Integrated,13.0,10,51000
Apple,Ryzen 7,8,1024,Integrated,16.0,10,121000
Lenovo,Ryzen 5,8,256,RTX 4090,17.0,7,101000
Asus,Ryzen 7,4,2048,RTX 4060,17.0,5,128000
Lenovo,Intel i9,4,2048,GTX 1650,17.0,4,138000
HP,Intel i5,4,1024,RTX 4070,15.6,4,98000
Dell,Intel i9,8,2048,RTX 3050,15.6,9,151000
HP,Intel i7,32,1024,Integrated,16.0,4,139000
Asus,Ryzen 5,16,512,GTX 1650,15.6,9,97000
MSI,Ryzen 3,8,512,Integrated,15.6,8,51000
Lenovo,Ryzen 5,32,1024,RTX 3050,13.0,7,144000
HP,Intel i5,32,2048,RTX 4080,15.6,4,179000
HP,Intel i3,4,512,RTX 4090,16.0,11,83000
Lenovo,Ryzen 5,32,512,RTX 4070,15.6,10,144000
MSI,Ryzen 7,32,512,RTX 4080,14.0,4,164000
Acer,Ryzen 7,4,512,GTX 1650,13.0,8,88000
MSI,Intel i3,8,256,GTX 1650,15.6,5,61000
Asus,Ryzen 7,4,256,Integrated,13.0,11,68000
Apple,Ryzen 5,16,2048,GTX 1650,17.0,9,157000
HP,Ryzen 5,32,512,RTX 4070,17.0,4,144000
Asus,Ryzen 3,4,512,RTX 4060,13.0,12,68000
Acer,Ryzen 3,8,1024,RTX 4080,13.0,5,96000
MSI,Intel i5,32,1024,Integrated,14.0,6,124000
Acer,Intel i3,32,512,RTX 3050,13.0,10,119000
Asus,Intel i9,32,1024,RTX 3050,13.0,6,179000
Dell,Intel i7,4,512,RTX 3050,15.6,10,93000
Dell,Intel i3,4,1024,RTX 4090,14.0,10,93000
Dell,Intel i5,8,256,RTX 4080,16.0,12,96000
Asus,Intel i3,8,1024,RTX 4060,16.0,6,86000
Asus,Ryzen 5,4,1024,RTX 3050,13.0,4,88000
Dell,Intel i3,16,256,GTX 1650,17.0,6,77000
Acer,Intel i5,4,512,RTX 4090,15.6,9,98000
Acer,Intel i9,32,256,RTX 3050,17.0,7,164000
Dell,Intel i3,16,512,RTX 4090,15.6,9,107000
HP,Ryzen 9,8,256,RTX 3050,17.0,12,116000
Acer,Intel i9,4,256,RTX 4090,15.6,11,128000
Asus,Ryzen 5,32,1024,RTX 4070,15.6,8,154000
HP,Intel i9,32,512,GTX 1650,14.0,11,164000
Acer,Intel i5,16,256,RTX 3050,17.0,8,97000
Apple,Intel i9,4,256,RTX 4090,13.0,8,158000
HP,Intel i3,4,512,RTX 4060,16.0,5,68000
Lenovo,Ryzen 7,4,1024,RTX 4060,14.0,9,108000
Acer,Ryzen 7,32,512,RTX 4070,13.0,4,159000
Lenovo,Ryzen 9,16,2048,GTX 1650,14.0,8,162000
Acer,Ryzen 5,16,256,RTX 4070,17.0,11,107000
Asus,Intel i9,16,256,RTX 3050,14.0,5,132000
Asus,Ryzen 3,8,1024,RTX 4070,15.6,11,91000
MSI,Intel i9,16,256,Integrated,17.0,5,112000
MSI,Intel i5,16,1024,Integrated,16.0,9,92000
Apple,Ryzen 3,16,2048,Integrated,13.0,7,127000
MSI,Intel i3,8,1024,RTX 4090,13.0,4,101000
MSI,Intel i3,16,2048,RTX 4090,15.6,5,137000
Asus,Intel i3,8,1024,RTX 4090,15.6,10,101000
Dell,Ryzen 7,8,2048,RTX 4080,16.0,6,146000
HP,Ryzen 5,32,256,RTX 4060,14.0,8,134000
Asus,Intel i7,32,2048,GTX 1650,15.6,8,174000
HP,Intel i5,4,1024,RTX 4080,15.6,8,103000
Dell,Ryzen 3,8,256,RTX 4090,14.0,4,86000
Asus,Intel i7,4,256,Integrated,15.6,10,68000
Acer,Intel i7,4,512,GTX 1650,17.0,4,88000
Apple,Intel i7,4,2048,GTX 1650,15.6,10,148000
HP,Ryzen 9,16,1024,RTX 4080,14.0,12,162000
Lenovo,Ryzen 9,4,256,GTX 1650,15.6,11,103000
Dell,Intel i7,16,256,RTX 3050,17.0,6,112000
Asus,Intel i9,8,256,RTX 4070,17.0,7,126000
Asus,Intel i5,8,2048,GTX 1650,14.0,9,111000
HP,Ryzen 5,4,512,RTX 4070,14.0,6,88000
Dell,Intel i3,32,256,RTX 4060,13.0,4,119000
Acer,Ryzen 5,16,256,RTX 4070,17.0,5,107000
Dell,Ryzen 7,32,256,RTX 4090,13.0,9,164000
Asus,Ryzen 9,32,256,RTX 3050,16.0,11,164000
HP,Ryzen 7,4,256,RTX 3050,13.0,7,88000
Lenovo,Intel i9,8,2048,RTX 4070,15.6,4,161000
Apple,Ryzen 5,16,1024,RTX 4060,16.0,5,147000
Dell,Ryzen 3,32,256,RTX 4090,15.6,5,134000
HP,Ryzen 9,4,256,RTX 4060,16.0,10,113000
Lenovo,Intel i5,8,2048,RTX 4070,15.6,7,126000
Dell,Ryzen 5,32,256,RTX 4090,15.6,8,149000
Lenovo,Ryzen 3,16,512,RTX 4070,14.0,5,97000
HP,Intel i5,16,512,RTX 4070,15.6,8,112000
Apple,Ryzen 7,8,256,RTX 4090,15.6,9,146000
Apple,Intel i7,4,2048,RTX 3050,17.0,8,153000
Acer,Ryzen 5,32,1024,RTX 3050,17.0,5,144000
Dell,Ryzen 9,32,512,RTX 3050,16.0,12,169000
Apple,Ryzen 7,8,512,RTX 4070,14.0,4,141000
Dell,Intel i9,16,1024,Integrated,16.0,12,127000
Apple,Ryzen 7,8,256,RTX 3050,16.0,10,126000
Acer,Ryzen 9,32,256,RTX 4080,14.0,4,179000
Apple,Ryzen 9,16,512,RTX 4080,13.0,6,182000
Dell,Ryzen 9,8,256,RTX 3050,16.0,8,116000
Apple,Ryzen 5,16,2048,GTX 1650,15.6,9,157000
Dell,Intel i7,16,256,RTX 3050,14.0,8,112000
Apple,Intel i7,32,256,RTX 4060,17.0,7,179000
Lenovo,Intel i5,8,256,RTX 3050,17.0,12,81000
Lenovo,Intel i9,4,2048,RTX 4070,13.0,4,153000
Dell,Ryzen 7,4,256,RTX 4060,13.0,11,93000
Lenovo,Intel i3,4,1024,GTX 1650,13.0,8,68000
Dell,Ryzen 7,8,512,Integrated,15.6,9,81000
Apple,Intel i7,4,2048,RTX 4070,13.0,11,163000
Acer,Intel i5,32,512,RTX 4090,13.0,5,154000
HP,Ryzen 7,4,256,Integrated,13.0,10,68000
Acer,Ryzen 9,4,256,RTX 4070,14.0,11,118000
HP,Ryzen 5,16,256,RTX 4070,15.6,4,107000
Dell,Ryzen 9,16,2048,RTX 4070,14.0,8,177000
Asus,Ryzen 5,32,1024,Integrated,13.0,9,124000
Apple,Intel i3,4,1024,GTX 1650,13.0,12,98000
Acer,Intel i7,16,2048,Integrated,17.0,11,127000
Dell,Ryzen 5,32,2048,RTX 4080,13.0,10,179000
Asus,Intel i9,16,512,RTX 3050,13.0,11,137000
MSI,Intel i5,32,1024,GTX 1650,16.0,12,139000
Asus,Ryzen 3,16,256,RTX 4060,15.6,6,87000
Asus,Intel i9,16,256,RTX 4070,15.6,11,142000
Apple,Intel i3,8,256,GTX 1650,17.0,11,91000
Lenovo,Intel i3,8,1024,RTX 4090,14.0,5,101000
Acer,Ryzen 7,16,2048,RTX 4080,13.0,7,162000
Apple,Intel i7,32,1024,RTX 4080,13.0,9,204000
HP,Ryzen 3,32,256,Integrated,16.0,11,94000
Acer,Ryzen 5,4,512,RTX 4060,16.0,6,83000
Apple,Intel i5,4,1024,RTX 4080,15.6,8,133000
MSI,Ryzen 9,32,2048,RTX 3050,17.0,4,199000
Lenovo,Ryzen 9,8,512,GTX 1650,14.0,5,116000
Asus,Ryzen 7,16,1024,GTX 1650,13.0,9,122000
HP,Ryzen 5,4,2048,RTX 4080,13.0,5,123000
Acer,Intel i7,4,1024,RTX 4070,14.0,7,113000
Acer,Intel i5,16,2048,GTX 1650,13.0,7,127000
Dell,Intel i9,32,1024,RTX 4070,17.0,5,189000
MSI,Intel i3,16,2048,RTX 4080,16.0,12,132000
Lenovo,Ryzen 9,32,2048,GTX 1650,15.6,5,194000
Acer,Intel i3,32,2048,RTX 3050,13.0,4,149000
HP,Ryzen 7,16,256,RTX 3050,14.0,4,112000
Apple,Ryzen 9,32,512,RTX 4070,16.0,9,209000
MSI,Intel i5,8,1024,RTX 4090,15.6,12,116000
Lenovo,Ryzen 5,4,2048,RTX 4090,15.6,6,128000
Asus,Intel i5,32,2048,GTX 1650,15.6,9,159000
Apple,Ryzen 3,16,2048,Integrated,17.0,12,127000
Acer,Ryzen 7,32,1024,Integrated,13.0,10,139000
Acer,Intel i5,32,1024,GTX 1650,14.0,8,139000
MSI,Ryzen 5,16,1024,RTX 4080,15.6,12,127000
Lenovo,Ryzen 3,8,256,RTX 4080,13.0,12,81000
HP,Intel i7,32,512,RTX 4060,15.6,8,154000
Asus,Intel i9,4,2048,Integrated,14.0,8,123000
Apple,Ryzen 3,32,2048,RTX 4090,15.6,5,199000
MSI,Ryzen 9,16,1024,Integrated,16.0,7,127000
Lenovo,Intel i7,8,256,RTX 3050,14.0,4,96000
MSI,Ryzen 5,32,256,RTX 3050,13.0,10,129000
MSI,Ryzen 7,4,512,RTX 4080,13.0,8,108000
Lenovo,Ryzen 7,16,1024,Integrated,16.0,6,107000
Dell,Ryzen 9,4,2048,RTX 4080,15.6,5,158000
MSI,Intel i9,16,1024,RTX 3050,15.6,9,147000
Dell,Ryzen 9,8,2048,RTX 4090,14.0,5,171000
HP,Intel i7,16,512,RTX 4060,16.0,4,122000
Dell,Ryzen 3,16,2048,Integrated,14.0,4,97000
Lenovo,Ryzen 3,8,1024,GTX 1650,15.6,9,76000
Apple,Intel i9,4,512,Integrated,16.0,7,123000
Acer,Intel i5,8,2048,Integrated,13.0,8,96000
HP,Ryzen 5,32,1024,GTX 1650,14.0,12,139000
Dell,Intel i3,4,256,RTX 4070,14.0,6,68000
Apple,Intel i5,32,1024,RTX 4070,13.0,12,184000
Lenovo,Intel i9,16,1024,RTX 4060,13.0,6,152000
Apple,Intel i3,16,256,RTX 3050,13.0,12,112000
HP,Intel i5,4,256,Integrated,16.0,10,53000
MSI,Ryzen 5,8,1024,RTX 4060,13.0,9,101000
HP,Intel i5,8,2048,Integrated,16.0,4,96000
Dell,Ryzen 7,32,256,RTX 4060,13.0,12,149000
Asus,Ryzen 9,16,1024,Integrated,13.0,10,127000
Asus,Ryzen 5,16,2048,Integrated,13.0,8,112000
Dell,Intel i9,4,1024,RTX 4060,14.0,11,128000
Dell,Ryzen 3,16,2048,RTX 4090,15.6,5,137000
Apple,Intel i9,4,256,RTX 4070,17.0,4,148000
Dell,Intel i3,16,256,RTX 4060,15.6,7,87000
HP,Ryzen 3,32,2048,GTX 1650,15.6,6,144000
Acer,Intel i7,8,512,RTX 3050,15.6,11,101000
Acer,Intel i5,4,1024,RTX 4090,15.6,5,108000
Dell,Intel i5,4,1024,RTX 4070,13.0,9,98000
Apple,Ryzen 5,8,512,GTX 1650,14.0,6,111000
HP,Intel i3,8,512,GTX 1650,13.0,4,66000
Lenovo,Intel i7,4,2048,GTX 1650,14.0,12,118000
Apple,Intel i5,8,1024,RTX 4090,15.6,8,146000
